rho (g/cm^3),Vp (km/s),Vs (km/s),Thickness (km)
1.93,0.94858,0.1511,0.0652
2.02599705757506,1.7964,0.35677,0.0998
2.0673186152458,1.9475,0.59811,0.2607
2.09356495532976,2.0483,0.71773,0.4287
2.13115041937059,2.1994,0.80798,0.3513
2.19993614646761,2.4974,1.0493,0.6008
2.30332142614082,3.001,1.297,0
